chr	start	end	CpG	C15_S1_dedup5-N	C15_S1_dedup5-X	C19_S2_dedup5-N	C19_S2_dedup5-X	C33_S3_dedup5-N	C33_S3_dedup5-X	C36_S4_dedup5-N	C36_S4_dedup5-X	C55_S5_dedup5-N	C55_S5_dedup5-X	C59_S6_dedup5-N	C59_S6_dedup5-X
chr13	111071500	111071589	5	NA	NA	NA	NA	21	1	NA	NA	NA	NA	NA	NA
chr13	111174800	111174870	4	NA	NA	NA	NA	NA	NA	21	7	23	3	NA	NA
chr13	111188514	111188721	8	22	18	NA	NA	NA	NA	25	24	26	23	NA	NA
chr13	112279284	112279390	17	40	9	NA	NA	31	6	24	15	21	12	20	8
chr13	112307576	112307703	3	NA	NA	NA	NA	22	22	25	24	25	25	NA	NA
chr13	112383594	112383627	6	26	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr13	112475815	112476070	8	NA	NA	25	1	28	4	20	0	NA	NA	NA	NA
chr13	112658518	112658629	7	NA	NA	NA	NA	NA	NA	NA	NA	22	21	NA	NA
chr13	112721519	112721693	5	NA	NA	NA	NA	NA	NA	20	10	20	6	NA	NA
chr13	113280405	113280471	3	NA	NA	NA	NA	20	16	NA	NA	NA	NA	NA	NA
chr13	113436530	113436676	4	NA	NA	NA	NA	NA	NA	NA	NA	20	18	NA	NA
chr13	113591005	113591033	7	NA	NA	NA	NA	NA	NA	21	1	NA	NA	NA	NA
chr13	113649830	113650004	9	NA	NA	NA	NA	NA	NA	38	30	NA	NA	NA	NA
chr13	113717238	113717384	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	0
chr13	114564503	114564638	4	NA	NA	NA	NA	NA	NA	NA	NA	21	2	NA	NA
chr13	114604428	114604612	6	NA	NA	NA	NA	23	19	NA	NA	NA	NA	NA	NA
chr13	114660220	114660288	3	NA	NA	NA	NA	NA	NA	NA	NA	25	22	NA	NA
chr13	115027625	115027729	3	NA	NA	NA	NA	NA	NA	20	4	NA	NA	NA	NA
chr13	115247667	115247899	13	23	5	NA	NA	25	0	37	7	24	6	NA	NA
chr13	115250095	115250267	7	24	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr13	116021042	116021098	4	NA	NA	NA	NA	NA	NA	22	17	NA	NA	NA	NA
chr13	117100416	117100472	7	NA	NA	NA	NA	NA	NA	NA	NA	21	21	NA	NA
chr13	118009559	118009754	18	37	16	21	11	NA	NA	54	17	NA	NA	NA	NA
chr13	118100570	118100635	6	NA	NA	NA	NA	NA	NA	20	9	NA	NA	NA	NA
chr13	118147179	118147500	17	27	25	29	25	42	40	85	82	39	34	45	38
chr13	118246178	118246258	7	21	20	35	34	30	27	55	47	23	22	NA	NA
chr13	119139144	119139407	9	21	4	NA	NA	NA	NA	42	9	24	0	NA	NA
chr13	119175882	119175925	10	NA	NA	28	0	NA	NA	NA	NA	NA	NA	23	3
chr13	119176227	119176338	6	NA	NA	NA	NA	NA	NA	NA	NA	23	1	NA	NA
chr13	120218747	120218821	5	NA	NA	20	0	28	0	NA	NA	32	0	NA	NA
chr13	120277642	120277927	25	41	37	53	39	68	39	78	40	63	53	79	49
chr13	120283944	120284101	10	NA	NA	NA	NA	45	45	NA	NA	NA	NA	NA	NA
chr14	3048152	3048217	5	NA	NA	28	17	26	4	50	28	39	27	NA	NA
chr14	3050363	3050419	4	29	0	30	0	22	1	50	3	36	1	32	1
chr14	3207476	3207541	5	43	14	63	28	36	14	70	32	57	20	50	27
chr14	3208882	3209018	10	NA	NA	NA	NA	NA	NA	47	8	NA	NA	NA	NA
chr14	3209698	3209912	10	116	31	195	34	197	66	170	66	165	44	142	44
chr14	4052151	4052428	19	44	4	38	11	41	10	75	15	NA	NA	44	7
chr14	4121736	4121920	13	NA	NA	NA	NA	32	14	NA	NA	NA	NA	NA	NA
chr14	4122022	4122175	11	NA	NA	26	4	27	1	30	1	28	6	NA	NA
chr14	4122335	4122423	8	NA	NA	27	7	NA	NA	23	6	33	9	NA	NA
chr14	4122975	4123063	6	77	0	73	6	78	8	117	9	151	9	105	13
chr14	4213302	4213562	12	24	0	21	8	20	0	NA	NA	NA	NA	NA	NA
chr14	4213583	4213861	21	31	5	74	9	50	10	51	19	37	6	36	7
chr14	4214037	4214119	7	NA	NA	33	19	NA	NA	NA	NA	22	8	NA	NA
chr14	4284499	4284615	4	36	9	26	10	45	8	31	1	33	9	35	11
chr14	4285234	4285437	12	69	33	32	15	28	8	45	20	25	14	NA	NA
chr14	4285577	4285658	12	22	12	24	8	NA	NA	45	9	NA	NA	NA	NA
chr14	4285829	4286295	26	57	33	67	25	54	19	83	28	68	35	96	23
chr14	4286773	4286888	4	32	1	40	5	32	10	51	22	50	21	24	11
chr14	4437616	4437783	13	NA	NA	NA	NA	36	4	NA	NA	NA	NA	25	12
chr14	4437923	4438024	8	26	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr14	4438142	4438275	12	NA	NA	30	5	25	7	23	14	44	14	35	3
chr14	4438867	4439137	8	72	13	82	20	100	27	105	29	106	24	75	13
chr14	4518076	4518257	9	29	13	NA	NA	38	14	41	7	25	2	38	15
chr14	4518494	4518664	19	NA	NA	NA	NA	NA	NA	40	20	50	7	26	0
chr14	4518871	4519013	12	NA	NA	32	7	35	14	45	15	41	17	25	15
chr14	4519354	4519378	3	48	1	48	0	59	0	81	8	57	12	46	5
chr14	4519764	4519818	3	NA	NA	38	5	29	14	36	24	NA	NA	NA	NA
chr14	4576792	4576852	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	20
chr14	4601607	4601981	13	28	4	28	7	34	6	21	3	36	6	26	2
chr14	4602362	4602419	6	NA	NA	NA	NA	23	1	24	5	20	4	NA	NA
chr14	4602623	4602673	7	21	4	NA	NA	NA	NA	26	8	24	10	NA	NA
chr14	4603017	4603128	7	28	10	52	15	40	6	60	13	56	9	47	5
chr14	4603343	4603430	5	NA	NA	NA	NA	31	3	NA	NA	32	8	20	1
chr14	4603559	4603647	4	22	0	NA	NA	28	8	29	22	30	14	NA	NA
chr14	4752529	4752732	12	NA	NA	NA	NA	44	1	31	11	39	7	NA	NA
chr14	4752949	4753196	16	NA	NA	43	8	22	5	55	18	28	3	NA	NA
chr14	4829393	4829631	10	NA	NA	NA	NA	NA	NA	23	7	NA	NA	28	4
chr14	4829743	4829800	10	NA	NA	31	2	NA	NA	NA	NA	NA	NA	44	10
chr14	4829915	4829985	6	NA	NA	NA	NA	NA	NA	24	3	NA	NA	NA	NA
chr14	4830237	4830331	11	30	9	26	0	NA	NA	26	4	38	20	NA	NA
chr14	4958616	4958867	22	31	17	22	14	69	10	52	28	40	8	49	12
chr14	4958990	4959121	10	21	0	NA	NA	38	14	NA	NA	26	19	20	1
chr14	5040579	5040672	4	NA	NA	NA	NA	21	10	NA	NA	30	19	22	14
chr14	5104575	5104717	11	33	12	51	16	38	13	37	5	NA	NA	62	14
chr14	6011544	6011562	3	35	7	26	11	22	7	38	12	40	13	27	7
chr14	6011906	6011981	6	NA	NA	NA	NA	NA	NA	NA	NA	22	2	35	5
chr14	6013344	6013409	5	40	27	32	22	22	15	35	24	71	46	35	23
chr14	6043040	6043154	5	20	18	29	26	20	18	20	19	24	23	21	20
chr14	6092378	6092432	3	NA	NA	NA	NA	NA	NA	25	15	23	8	27	11
chr14	6093188	6093455	19	35	7	NA	NA	32	9	45	11	41	16	34	0
chr14	6169034	6169122	6	45	8	55	8	100	18	97	23	95	19	73	12
chr14	6171256	6171295	3	NA	NA	NA	NA	NA	NA	31	13	NA	NA	NA	NA
chr14	6239522	6239577	4	65	1	70	2	63	3	71	0	71	1	29	0
chr14	6239792	6240018	7	81	5	67	2	89	8	108	12	124	10	90	4
chr14	6240158	6240248	8	NA	NA	NA	NA	NA	NA	28	7	28	2	29	3
chr14	6240396	6240545	13	35	2	29	6	32	5	32	15	37	6	NA	NA
chr14	6240674	6240896	19	29	0	42	4	62	17	47	4	24	6	64	8
chr14	7119299	7119568	12	22	6	33	7	34	5	47	8	47	12	27	11
chr14	7119597	7119893	28	63	9	48	9	113	18	68	1	66	12	70	7
chr14	7258426	7258514	6	41	3	63	6	56	1	69	7	79	3	66	9
chr14	7258936	7259370	21	44	13	26	6	51	13	54	19	26	10	21	8
chr14	7259654	7259716	7	NA	NA	NA	NA	20	0	NA	NA	NA	NA	NA	NA
chr14	7436552	7436629	4	29	0	36	1	29	4	78	4	66	1	38	1
chr14	7437631	7437806	10	NA	NA	NA	NA	35	13	20	6	38	12	NA	NA
chr14	7588385	7588440	4	NA	NA	NA	NA	NA	NA	NA	NA	32	0	31	1
chr14	7589021	7589163	11	21	7	37	14	28	10	28	5	34	12	29	6
chr14	7589272	7589451	14	NA	NA	24	10	NA	NA	NA	NA	NA	NA	57	8
chr14	7589552	7589687	19	48	2	NA	NA	25	5	24	4	33	4	44	6
chr14	7721731	7721816	6	NA	NA	20	2	21	1	NA	NA	25	0	NA	NA
chr14	7721922	7722162	15	22	9	51	8	44	13	35	4	42	6	51	5
chr14	7722205	7722425	25	NA	NA	49	8	52	15	89	12	25	7	44	16
chr14	7813543	7813802	4	NA	NA	NA	NA	20	6	28	9	24	6	22	8
chr14	7858772	7858860	5	84	5	134	9	134	17	134	13	133	17	142	6
chr14	7858979	7859098	3	29	3	27	0	32	4	34	1	26	5	30	3
chr14	7859410	7859796	22	38	11	81	28	62	17	46	11	75	9	78	17
chr14	7859914	7860105	17	33	7	43	9	NA	NA	36	6	NA	NA	NA	NA
chr14	7938060	7938111	7	21	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr14	8007105	8007141	7	NA	NA	NA	NA	21	1	NA	NA	NA	NA	NA	NA
chr14	8034184	8034237	3	NA	NA	NA	NA	22	18	23	20	NA	NA	NA	NA
chr14	8076013	8076089	6	29	0	NA	NA	43	10	56	2	40	1	45	7
chr14	8146230	8146284	3	NA	NA	26	4	38	14	42	15	29	3	34	7
chr14	8146877	8146942	5	23	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr14	8147089	8147181	8	NA	NA	NA	NA	23	7	NA	NA	27	0	NA	NA
chr14	8147385	8147549	17	NA	NA	NA	NA	34	8	47	17	47	10	31	8
chr14	8147657	8147941	12	23	4	24	2	NA	NA	NA	NA	NA	NA	NA	NA
chr14	8237898	8237939	3	NA	NA	NA	NA	38	34	37	31	29	26	36	26
chr14	8319726	8319814	4	NA	NA	27	13	NA	NA	25	19	27	12	NA	NA
chr14	8320456	8320703	15	27	2	42	9	55	16	95	13	52	5	21	6
chr14	8321344	8321546	12	33	10	23	6	48	13	40	3	53	9	55	20
chr14	8345841	8345965	3	NA	NA	32	18	NA	NA	41	24	39	24	28	18
chr14	8399855	8399911	5	20	0	29	0	35	2	44	4	35	6	38	2
chr14	8400524	8400855	21	21	3	21	5	35	5	34	1	64	10	23	7
chr14	8489928	8490016	6	40	0	51	4	101	3	76	1	94	3	64	1
chr14	8490629	8490737	12	NA	NA	26	0	21	4	28	7	43	17	NA	NA
chr14	8491191	8491300	6	NA	NA	NA	NA	NA	NA	NA	NA	24	7	NA	NA
chr14	8765102	8765259	7	NA	NA	20	20	22	17	53	50	42	40	22	20
chr14	8848449	8848478	5	NA	NA	NA	NA	34	15	NA	NA	35	14	NA	NA
chr14	8931058	8931085	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	0
chr14	9119264	9119346	4	34	27	36	31	40	30	52	44	47	40	52	47
chr14	12120889	12121056	5	NA	NA	34	34	29	27	46	44	41	38	20	19
chr14	12212846	12212939	3	NA	NA	NA	NA	NA	NA	NA	NA	21	13	NA	NA
chr14	13170621	13170784	6	NA	NA	NA	NA	22	2	NA	NA	36	1	NA	NA
chr14	13174739	13174858	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	9
chr14	13655654	13655703	6	NA	NA	29	12	NA	NA	NA	NA	NA	NA	NA	NA
chr14	14845612	14845667	13	NA	NA	NA	NA	NA	NA	NA	NA	39	0	NA	NA
chr14	14953058	14953105	7	NA	NA	NA	NA	NA	NA	21	13	NA	NA	NA	NA
chr14	15179262	15179341	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	5
chr14	15696813	15696925	3	21	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr14	16977697	16977974	9	NA	NA	NA	NA	NA	NA	37	32	NA	NA	NA	NA
chr14	19103703	19103748	6	NA	NA	24	1	NA	NA	NA	NA	NA	NA	NA	NA
chr14	19261315	19261494	4	NA	NA	NA	NA	NA	NA	20	15	21	18	NA	NA
chr14	20145158	20145240	3	NA	NA	NA	NA	NA	NA	NA	NA	22	21	NA	NA
chr14	20223029	20223121	3	NA	NA	NA	NA	NA	NA	NA	NA	20	13	NA	NA
chr14	20403200	20403245	3	31	1	47	2	60	1	65	0	48	0	51	0
chr14	20403563	20403582	3	23	4	NA	NA	20	4	NA	NA	21	5	NA	NA
chr14	20403840	20403982	11	28	7	51	13	21	3	NA	NA	39	10	39	14
chr14	20404110	20404398	27	22	13	42	5	56	18	44	12	94	34	34	18
chr14	20622281	20622317	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	22
chr14	21364855	21365039	6	NA	NA	NA	NA	NA	NA	23	0	NA	NA	NA	NA
chr14	21459189	21459397	5	NA	NA	20	1	NA	NA	NA	NA	NA	NA	NA	NA
chr14	21459725	21459949	9	37	2	34	0	21	0	41	1	34	1	31	2
chr14	21460623	21460696	6	NA	NA	NA	NA	NA	NA	NA	NA	20	0	NA	NA
chr14	21514140	21514311	13	NA	NA	33	11	25	3	NA	NA	24	8	NA	NA
chr14	21514526	21514568	14	NA	NA	NA	NA	NA	NA	NA	NA	42	10	NA	NA
chr14	21526699	21526735	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	5
chr14	21613252	21613316	7	NA	NA	28	0	NA	NA	NA	NA	NA	NA	NA	NA
chr14	21675393	21675728	16	35	34	42	42	68	62	88	80	58	57	54	48
chr14	21748114	21748219	7	NA	NA	NA	NA	NA	NA	NA	NA	20	0	20	1
chr14	21871610	21871704	8	NA	NA	30	5	NA	NA	NA	NA	NA	NA	NA	NA
chr14	22320186	22320236	9	NA	NA	NA	NA	NA	NA	27	18	NA	NA	NA	NA
chr14	22807334	22807457	8	20	0	28	4	24	0	20	2	NA	NA	22	0
chr14	22807670	22807727	10	NA	NA	NA	NA	30	22	NA	NA	24	22	NA	NA
chr14	22808773	22808832	10	NA	NA	NA	NA	NA	NA	53	14	NA	NA	NA	NA
chr14	22814271	22814409	8	NA	NA	23	0	NA	NA	37	3	35	1	NA	NA
chr14	23232309	23232525	6	NA	NA	NA	NA	NA	NA	21	7	NA	NA	NA	NA
chr14	24823114	24823174	6	NA	NA	NA	NA	NA	NA	NA	NA	21	0	NA	NA
chr14	25223834	25223981	4	NA	NA	NA	NA	NA	NA	28	19	NA	NA	NA	NA
chr14	26318330	26318463	7	NA	NA	22	22	NA	NA	24	23	NA	NA	27	25
chr14	26589021	26589102	6	NA	NA	NA	NA	NA	NA	21	1	NA	NA	NA	NA
chr14	26661413	26661572	8	NA	NA	NA	NA	NA	NA	22	5	NA	NA	NA	NA
chr14	27135166	27135215	3	21	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr14	27400162	27400281	4	NA	NA	NA	NA	24	11	26	10	NA	NA	NA	NA
chr14	27424879	27424974	4	NA	NA	NA	NA	NA	NA	29	2	NA	NA	23	1
chr14	27457081	27457317	8	NA	NA	NA	NA	NA	NA	23	0	31	2	NA	NA
chr14	27458426	27458711	7	NA	NA	NA	NA	25	3	22	0	20	0	NA	NA
chr14	27571729	27571975	9	NA	NA	22	7	24	8	38	20	52	21	25	18
chr14	28242705	28242761	7	NA	NA	NA	NA	NA	NA	27	11	NA	NA	NA	NA
chr14	28243056	28243456	9	NA	NA	29	13	26	15	37	25	34	14	NA	NA
chr14	29130337	29130440	8	NA	NA	21	17	NA	NA	NA	NA	24	18	NA	NA
chr14	29319642	29319684	5	NA	NA	NA	NA	NA	NA	NA	NA	20	0	NA	NA
chr14	29324602	29324643	6	NA	NA	NA	NA	NA	NA	NA	NA	24	10	NA	NA
chr14	29324778	29324828	6	NA	NA	NA	NA	NA	NA	NA	NA	24	1	NA	NA
chr14	30042285	30042501	8	NA	NA	NA	NA	23	22	NA	NA	20	15	NA	NA
chr14	30781978	30782020	7	NA	NA	NA	NA	NA	NA	21	0	NA	NA	NA	NA
chr14	31167704	31167790	5	NA	NA	NA	NA	24	6	NA	NA	NA	NA	NA	NA
chr14	31293481	31293802	10	NA	NA	NA	NA	NA	NA	25	0	NA	NA	NA	NA
chr14	31764483	31764686	15	NA	NA	NA	NA	NA	NA	34	6	NA	NA	20	2
chr14	31814957	31815019	11	NA	NA	NA	NA	NA	NA	NA	NA	33	0	NA	NA
chr14	31830556	31830624	4	NA	NA	NA	NA	NA	NA	NA	NA	22	9	NA	NA
chr14	31892348	31892405	4	NA	NA	NA	NA	NA	NA	21	21	NA	NA	NA	NA
chr14	31942054	31942130	10	NA	NA	NA	NA	38	4	22	19	NA	NA	NA	NA
chr14	32150456	32150616	5	22	0	NA	NA	22	0	25	0	32	0	31	1
chr14	32150821	32151035	6	36	0	23	0	NA	NA	40	2	22	0	21	0
chr14	32418808	32418848	6	NA	NA	NA	NA	NA	NA	34	24	NA	NA	NA	NA
chr14	32858131	32858382	7	NA	NA	NA	NA	22	15	NA	NA	NA	NA	20	13
chr14	34840825	34840982	6	21	20	35	31	42	39	25	23	52	48	36	34
chr14	35124801	35125006	7	20	1	25	0	NA	NA	NA	NA	NA	NA	NA	NA
chr14	35316460	35316520	9	NA	NA	NA	NA	NA	NA	22	8	27	1	NA	NA
chr14	35475375	35475489	8	NA	NA	NA	NA	NA	NA	NA	NA	28	8	NA	NA
chr14	35486247	35486450	7	NA	NA	29	0	NA	NA	NA	NA	NA	NA	NA	NA
chr14	35488407	35488659	5	NA	NA	NA	NA	NA	NA	25	3	NA	NA	NA	NA
chr14	35709332	35709467	5	NA	NA	NA	NA	NA	NA	31	5	33	3	NA	NA
chr14	37783684	37783705	3	NA	NA	NA	NA	29	28	22	20	32	31	NA	NA
chr14	37948921	37949009	6	NA	NA	NA	NA	21	1	NA	NA	NA	NA	NA	NA
chr14	37967368	37967550	7	21	16	26	24	32	30	34	31	42	40	23	23
chr14	41866991	41867086	10	NA	NA	29	9	80	30	28	18	NA	NA	NA	NA
chr14	41914341	41914595	6	28	5	36	17	38	16	34	21	33	20	27	15
chr14	43800652	43800770	12	42	19	68	34	43	31	118	71	65	45	62	28
chr14	44389713	44389808	7	NA	NA	NA	NA	NA	NA	NA	NA	28	24	NA	NA
chr14	44389943	44390033	7	NA	NA	24	20	NA	NA	33	31	NA	NA	NA	NA
chr14	44502848	44503159	12	NA	NA	40	0	41	0	36	2	61	0	31	0
chr14	44503166	44503483	14	NA	NA	50	3	51	3	47	7	73	12	32	1
chr14	44675696	44675790	4	NA	NA	NA	NA	NA	NA	22	12	NA	NA	NA	NA
chr14	44826850	44826949	5	NA	NA	NA	NA	NA	NA	24	22	NA	NA	NA	NA
chr14	45169595	45169677	3	NA	NA	24	16	31	14	49	32	35	18	26	12
chr14	45478800	45478922	10	NA	NA	NA	NA	27	13	NA	NA	20	8	21	7
chr14	45937794	45937835	6	NA	NA	NA	NA	NA	NA	22	0	NA	NA	NA	NA
chr14	45938099	45938169	9	NA	NA	NA	NA	NA	NA	27	9	NA	NA	NA	NA
chr14	46149329	46149401	11	NA	NA	20	11	30	3	23	3	NA	NA	NA	NA
chr14	46177703	46177933	13	20	15	NA	NA	NA	NA	38	31	NA	NA	NA	NA
chr14	46276812	46276951	15	NA	NA	NA	NA	NA	NA	NA	NA	64	19	27	7
chr14	46538787	46539243	13	30	22	35	31	43	40	56	50	66	60	25	18
chr14	47290102	47290273	10	28	23	23	19	23	21	33	32	20	19	24	22
chr14	47897111	47897432	10	NA	NA	33	0	31	0	23	0	39	0	NA	NA
chr14	48092790	48092851	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	7
chr14	48187844	48187873	7	NA	NA	NA	NA	NA	NA	21	0	NA	NA	NA	NA
chr14	48192649	48192799	4	NA	NA	NA	NA	NA	NA	22	1	NA	NA	22	1
chr14	48243980	48244050	5	NA	NA	NA	NA	29	27	NA	NA	NA	NA	NA	NA
chr14	48990439	48990568	5	NA	NA	NA	NA	NA	NA	NA	NA	44	31	NA	NA
chr14	49065931	49065994	7	NA	NA	NA	NA	NA	NA	NA	NA	27	9	NA	NA
chr14	49310041	49310147	6	NA	NA	NA	NA	NA	NA	34	23	24	12	NA	NA
chr14	49472814	49472888	5	NA	NA	25	5	NA	NA	NA	NA	NA	NA	NA	NA
chr14	49791876	49791929	10	NA	NA	NA	NA	NA	NA	30	16	NA	NA	NA	NA
chr14	49847034	49847044	6	21	1	22	6	NA	NA	41	8	24	0	65	4
chr14	50651368	50651481	3	NA	NA	NA	NA	NA	NA	NA	NA	23	16	NA	NA
chr14	50651600	50651650	3	NA	NA	NA	NA	NA	NA	22	22	25	24	NA	NA
chr14	51564236	51564303	10	NA	NA	NA	NA	NA	NA	35	0	NA	NA	NA	NA
chr14	51589233	51589368	6	NA	NA	22	20	NA	NA	NA	NA	NA	NA	NA	NA
chr14	51734342	51734445	4	NA	NA	NA	NA	NA	NA	NA	NA	20	11	NA	NA
chr14	51734589	51734745	3	NA	NA	NA	NA	NA	NA	22	7	NA	NA	20	10
chr14	51885822	51885861	3	NA	NA	NA	NA	24	4	NA	NA	21	3	NA	NA
chr14	52101330	52101630	8	26	11	22	16	29	15	20	7	25	11	NA	NA
chr14	52358524	52358656	12	NA	NA	42	1	20	5	NA	NA	NA	NA	NA	NA
chr14	52360233	52360294	5	NA	NA	NA	NA	20	0	NA	NA	NA	NA	NA	NA
chr14	52360713	52360870	8	NA	NA	NA	NA	NA	NA	27	1	NA	NA	NA	NA
chr14	52393065	52393102	3	NA	NA	NA	NA	NA	NA	22	21	NA	NA	NA	NA
chr14	52503755	52504038	9	NA	NA	NA	NA	22	0	NA	NA	22	0	NA	NA
chr14	52629966	52629972	3	NA	NA	21	21	NA	NA	NA	NA	NA	NA	NA	NA
chr14	52634806	52634989	10	20	0	26	0	26	0	52	0	30	0	28	0
chr14	52723026	52723372	12	NA	NA	NA	NA	NA	NA	33	1	NA	NA	NA	NA
chr14	52876498	52876649	9	NA	NA	27	2	26	1	NA	NA	NA	NA	NA	NA
chr14	54210598	54210627	4	NA	NA	NA	NA	NA	NA	26	23	NA	NA	NA	NA
chr14	54874440	54874581	5	NA	NA	NA	NA	NA	NA	26	0	NA	NA	NA	NA
chr14	55001637	55001809	7	NA	NA	NA	NA	NA	NA	NA	NA	28	2	NA	NA
chr14	55045356	55045422	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	0
chr14	55051054	55051104	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	6
chr14	55051277	55051314	9	NA	NA	NA	NA	NA	NA	NA	NA	27	2	NA	NA
chr14	55083465	55083538	12	NA	NA	23	0	NA	NA	25	0	NA	NA	NA	NA
chr14	55260417	55260534	13	NA	NA	NA	NA	47	17	NA	NA	NA	NA	21	4
chr14	55311388	55311473	7	21	20	NA	NA	NA	NA	21	21	NA	NA	NA	NA
chr14	55532570	55532686	5	NA	NA	NA	NA	27	10	21	8	NA	NA	NA	NA
chr14	55708764	55709088	8	25	23	24	23	NA	NA	25	25	26	26	NA	NA
chr14	55725127	55725352	7	27	2	NA	NA	31	0	29	0	29	0	22	0
chr14	56203865	56204019	7	NA	NA	NA	NA	NA	NA	NA	NA	22	13	NA	NA
chr14	56237290	56237457	6	NA	NA	NA	NA	NA	NA	NA	NA	30	6	NA	NA
chr14	56254424	56254479	9	NA	NA	NA	NA	39	0	NA	NA	NA	NA	NA	NA
chr14	56342497	56342503	4	20	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr14	56379120	56379194	5	NA	NA	22	4	NA	NA	NA	NA	NA	NA	22	0
chr14	56487466	56487616	4	NA	NA	NA	NA	NA	NA	21	20	20	20	NA	NA
chr14	57190065	57190211	5	NA	NA	NA	NA	NA	NA	21	1	NA	NA	NA	NA
chr14	57677553	57677610	5	NA	NA	NA	NA	NA	NA	NA	NA	22	14	NA	NA
chr14	58017781	58017915	6	22	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr14	58190707	58190946	7	NA	NA	NA	NA	26	0	NA	NA	NA	NA	22	1
chr14	58283014	58283162	6	NA	NA	NA	NA	NA	NA	23	0	NA	NA	NA	NA
chr14	58284539	58284761	6	NA	NA	NA	NA	NA	NA	31	1	NA	NA	28	0
chr14	58444682	58444847	11	NA	NA	21	12	NA	NA	NA	NA	NA	NA	NA	NA
chr14	58529285	58529341	4	NA	NA	NA	NA	NA	NA	NA	NA	31	0	NA	NA
chr14	58620502	58620788	5	NA	NA	NA	NA	20	18	26	16	NA	NA	NA	NA
chr14	58692677	58692806	6	26	1	NA	NA	NA	NA	NA	NA	30	2	NA	NA
chr14	59820778	59820907	5	NA	NA	NA	NA	NA	NA	NA	NA	20	0	26	1
chr14	59989388	59989489	10	NA	NA	NA	NA	NA	NA	48	42	NA	NA	NA	NA
chr14	60059465	60059533	5	NA	NA	NA	NA	25	0	NA	NA	NA	NA	NA	NA
chr14	60244218	60244278	8	NA	NA	NA	NA	NA	NA	24	0	NA	NA	NA	NA
chr14	61311792	61311973	5	NA	NA	NA	NA	NA	NA	NA	NA	20	2	NA	NA
chr14	61403282	61403399	8	NA	NA	NA	NA	29	2	NA	NA	NA	NA	NA	NA
chr14	61461177	61461364	7	22	22	NA	NA	NA	NA	32	29	28	28	29	28
chr14	61642907	61643092	5	NA	NA	NA	NA	NA	NA	21	12	NA	NA	NA	NA
chr14	61830088	61830130	3	NA	NA	NA	NA	NA	NA	25	21	NA	NA	NA	NA
chr14	61893975	61894025	9	27	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr14	61913418	61913724	9	NA	NA	22	5	NA	NA	33	8	28	15	NA	NA
chr14	61979080	61979149	11	NA	NA	NA	NA	NA	NA	NA	NA	36	28	NA	NA
chr14	62265960	62266224	7	NA	NA	NA	NA	NA	NA	22	0	NA	NA	NA	NA
chr14	62306462	62306646	6	20	2	NA	NA	NA	NA	28	2	26	2	20	0
chr14	62307470	62307654	7	NA	NA	NA	NA	33	6	39	4	21	3	NA	NA
chr14	62676293	62676299	3	NA	NA	NA	NA	NA	NA	32	28	NA	NA	NA	NA
chr14	63111607	63111756	6	NA	NA	21	5	NA	NA	NA	NA	NA	NA	NA	NA
chr14	63486108	63486164	3	NA	NA	NA	NA	NA	NA	21	20	NA	NA	23	23
chr14	64055413	64055505	13	NA	NA	34	1	NA	NA	NA	NA	37	3	NA	NA
chr14	64227417	64227639	10	24	15	32	22	30	24	38	24	21	16	27	21
chr14	64562127	64562263	8	NA	NA	NA	NA	NA	NA	26	1	NA	NA	NA	NA
chr14	65211556	65211784	8	23	16	NA	NA	21	7	NA	NA	31	23	NA	NA
chr14	65245973	65246055	6	NA	NA	NA	NA	NA	NA	21	0	NA	NA	NA	NA
chr14	65879724	65879974	8	NA	NA	24	10	NA	NA	NA	NA	NA	NA	24	16
chr14	65976858	65976910	8	NA	NA	NA	NA	26	1	NA	NA	NA	NA	NA	NA
chr14	66456074	66456185	12	21	2	21	0	26	1	NA	NA	NA	NA	NA	NA
chr14	66860993	66861069	4	NA	NA	NA	NA	NA	NA	NA	NA	33	28	NA	NA
chr14	67257498	67257790	7	NA	NA	NA	NA	NA	NA	22	11	21	11	NA	NA
chr14	67487050	67487218	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	2
